Form Code (Ascending),Item Code,Page,Stat Code,Data Type,Sequence,Literal,Unit of measure,List Code,Minimum Value Warning,Maximum Value Warning,Minimum Value Error,Maximum Value Error,Entry Places,Decimal Places,Entry Required,Required message,Read only,Hide Item,Not extractable,Default value,Parent item code,Sub-Form Code,Cell - Line number,Cell - Column number,Count Number
AE - Adverse Events,AEREL_PROSP,1,AEREL_PROSP,Text memo,17,Specify Procedure(s),,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESCONG,1,AESCONG,List of values,32,Was the adverse event associated with a congenital anomaly or birth defect?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESDISAB,1,AESDISAB,List of values,31,Did the adverse event result in disability or permanent damage?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESDTH,1,AESDTH,List of values,28,Did the adverse event result in death?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
AE - Adverse Events,AESER,1,AESER,List of values,11,Is the Adverse Event serious?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESEV,1,AESEV,Drop-down list,10,What is the severity of the Adverse Event?,,AE Severity - CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESHOSP,1,AESHOSP,List of values,30,Did the adverse event result in initial or prolonged hospitalization for the subject?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESLIFE,1,AESLIFE,List of values,29,Was the adverse event life-threatening?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESMIE,1,AESMIE,List of values,33,Was the adverse event a medically important event not covered by other serious criteria?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESNOTYN,1,AESNOTYN,List of values,24,Has Sponsor been notified of the SAE?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
AE - Adverse Events,AESPID,1,AESPID,Integer,2,Adverse Event Number,,,,,,,2,,Optional,,No,No,No,,,,,,1
AE - Adverse Events,AESTDAT,1,AESTDAT,Date,5,Onset Date,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESTTIM,1,AESTTIM,Time,7,Onset Time,,,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AESTTIM_YN,1,AESTTIM_YN,List of values,6,Onset Time Known?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
AE - Adverse Events,AETERM,1,AETERM,Text,3,Adverse Event Term,,,,,,,,,Required,,No,No,No,,,,,,1
AE - Adverse Events,AEYN,1,AEYN,List of values,1,Was an adverse event experienced?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
AE - Adverse Events,CDDAT,1,CDDAT,Date,41,Completion / Discontinuation Date (from DS_COMP),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
AE - Adverse Events,CDSTAT,1,CDSTAT,Drop-down list,44,Patient's Completion / Discontinuation Status (from DS_COMP),,DS_COMP - Completion / Discontinuation Status,,,,,,,Optional,,No,Yes,Yes,,,,,,1
AE - Adverse Events,DXDAT,1,DXDAT,Date,39,Procedure Date (from DX),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
AE - Adverse Events,DXTIM,1,DXTIM,Time,40,Procedure Start Time(from DX),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
AE - Adverse Events,Head1,1,,Header title,0,Adverse Event,,,,,,,,,Optional,,No,No,Yes,,,,,,1
AE - Adverse Events,Head2,1,,Header title,23,SAE Details,,,,,,,,,Optional,,No,No,Yes,,,,,,1
AE - Adverse Events,Head3,1,,Header title,27,Seriousness Criteria,,,,,,,,,Optional,,No,No,Yes,,,,,,1
AE - Adverse Events,ICDAT,1,ICDAT,Date,38,Date of Consent (from DS_IC),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
AE - Adverse Events,LCDAT,1,LCDAT,Date,42,Date of Last Contact (from DS_COMP),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
AE - Adverse Events,v1,1,,Line feed,34,,,,,,,,,,,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,CEACNOTH_DRUG,1,CEACNOTH_DRUG,Boolean,-1,Medication,,,,,,,,,Optional,,No,No,No,,CEACNOTH_t,,2,1,1
CE_SYM - Symptoms,CEACNOTH_NONE,1,CEACNOTH_NONE,Boolean,-1,None,,,,,,,,,Optional,,No,No,No,,CEACNOTH_t,,1,1,1
CE_SYM - Symptoms,CEACNOTH_OTH,1,CEACNOTH_OTH,Boolean,-1,Other,,,,,,,,,Optional,,No,No,No,,CEACNOTH_t,,5,1,1
CE_SYM - Symptoms,CEACNOTH_OTHSPEC,1,CEACNOTH_OTHSPEC,Text,-1,Specify other action(s) taken,,,,,,,,,Confirmable,,No,No,No,,CEACNOTH_t,,6,1,1
CE_SYM - Symptoms,CEACNOTH_PROC,1,CEACNOTH_PROC,Boolean,-1,Procedure,,,,,,,,,Optional,,No,No,No,,CEACNOTH_t,,3,1,1
CE_SYM - Symptoms,CEACNOTH_t,1,,Table of items,8,Other Action(s) Taken inresponse to the symptom,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,CEACNOTH_TEST,1,CEACNOTH_TEST,Boolean,-1,Test / Assessment,,,,,,,,,Optional,,No,No,No,,CEACNOTH_t,,4,1,1
CE_SYM - Symptoms,CECAT,1,CECAT,Drop-down list,-1,Indicative of,,CE - Symptom Categories,,,,,,,Confirmable,,No,No,No,,CECAT_t,,1,1,1
CE_SYM - Symptoms,CECAT_OTH,1,CECAT_OTH,Text,-1,Specify other,,,,,,,,,Confirmable,,No,No,No,,CECAT_t,,2,1,1
CE_SYM - Symptoms,CECAT_t,1,,Table of items,1,Indicative of,,,,,,,,,,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,CEENDAT,1,CEENDAT,Date,-1,End Date,,,,,,,,,Confirmable,,No,No,No,,CEENDAT_t,,1,1,1
CE_SYM - Symptoms,CEENDAT_t,1,,Table of items,4,End Date,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,CEONGO,1,CEONGO,List of values,3,Ongoing?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
CE_SYM - Symptoms,CESEV,1,CESEV,Drop-down list,-1,Symptom Severity,,AE Severity - CDISC,,,,,,,Confirmable,,No,No,No,,CESEV_t,,1,1,1
CE_SYM - Symptoms,CESEV_t,1,,Table of items,7,Symptom Severity,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,CESTDAT,1,CESTDAT,Date,-1,Start Date,,,,,,,,,Confirmable,,No,No,No,,CESTDAT_t,,1,1,1
CE_SYM - Symptoms,CESTDAT_t,1,,Table of items,2,Start Date,,,,,,,,,,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,CETERM,1,CETERM,Text,0,Symptom,,,,,,,,,Required,,No,No,No,,,,,,1
CE_SYM - Symptoms,DXDAT,1,DXDAT,Date,9,Procedure Date (from DX),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
CE_SYM - Symptoms,HOENDAT_HOSP,1,HOENDAT_HOSP,Date,-1,Discharge Date,,,,,,,,,Confirmable,,No,No,No,,HOSPDET_t,,3,1,1
CE_SYM - Symptoms,HOONGO_HOSP,1,HOONGO_HOSP,List of values,-1,Hospital Ongoing?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,HOSPDET_t,,2,1,1
CE_SYM - Symptoms,HOSPDET_t,1,,Table of items,6,Hospitalization Details,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CE_SYM - Symptoms,HOSTDAT_HOSP,1,HOSTDAT_HOSP,Date,-1,Admission Date,,,,,,,,,Confirmable,,No,No,No,,HOSPDET_t,,1,1,1
CE_SYM - Symptoms,HOYN_HOSP,1,HOYN_HOSP,List of values,5,Hospitalization Required?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
CE_SYM - Symptoms,LCDAT,1,LCDAT,Date,10,Date of Last Contact (from DS_COMP),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
CE_SYM_SUM - Arrhythmia Symptom Recurrence,CESYMLOG,1,CESYMLOG,Sub-Form,2,,,,,,,,,,Required,,No,No,No,,,CE_SYM,,,1
CE_SYM_SUM - Arrhythmia Symptom Recurrence,CEYN,1,CEYN,List of values,1,Are there any instances of arrhythmia symptom recurrence to report since the ablation procedure?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
CE_SYM_SUM - Arrhythmia Symptom Recurrence,Head1,1,,Header title,0,Arrhythmia Symptom Recurrence,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMCAT,1,CMCAT,Drop-down list,3,Medication Category,,CM - Drug Categories,,,,,,,Confirmable,,No,No,No,,,,,,1
CM - Medications,CMDOSFRM,1,CMDOSFRM,Drop-down list,-1,Dose Form,,CDISC CM Dose Form,,,,,,,Confirmable,,No,No,No,,CMDOSFRM_t,,1,1,1
CM - Medications,CMDOSFRM_OTH,1,CMDOSFRM_OTH,Text,-1,Specify other dose form,,,,,,,,,Confirmable,,No,No,No,,CMDOSFRM_t,,2,1,1
CM - Medications,CMDOSFRM_t,1,,Table of items,9,Dose Form,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMDOSFRQ,1,CMDOSFRQ,Drop-down list,-1,Frequency,,CDISC CM Frequency,,,,,,,Confirmable,,No,No,No,,CMDOSFRQ_t,,1,1,1
CM - Medications,CMDOSFRQ_OTH,1,CMDOSFRQ_OTH,Text,-1,Specify other frequency,,,,,,,,,Confirmable,,No,No,No,,CMDOSFRQ_t,,2,1,1
CM - Medications,CMDOSFRQ_t,1,,Table of items,10,Frequency,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMDOSU,1,CMDOSU,Drop-down list,-1,Unit,,CDISC CM Units,,,,,,,Confirmable,,No,No,No,,CMDOSU_t,,1,1,1
CM - Medications,CMDOSU_OTH,1,CMDOSU_OTH,Text,-1,Specify other unit,,,,,,,,,Confirmable,,No,No,No,,CMDOSU_t,,2,1,1
CM - Medications,CMDOSU_t,1,,Table of items,8,Unit,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMDSTXT,1,CMDSTXT,Real,7,Dose,,,,,0,,,3,Confirmable,,No,No,No,,,,,,1
CM - Medications,CMENDAT,1,CMENDAT,Date,-1,End Date,,,,,,,,,Optional,,No,Yes,No,,CMENDAT_t,,4,1,1
CM - Medications,CMENDAT_d,1,CMENDAT_d,Drop-down list,-1,Day,,Days,,,,,,,Confirmable,,No,No,No,,CMENDAT_t,,1,1,1
CM - Medications,CMENDAT_m,1,CMENDAT_m,Drop-down list,-1,Month,,Months,,,,,,,Confirmable,,No,No,No,,CMENDAT_t,,2,1,1
CM - Medications,CMENDAT_t,1,,Table of items,6,End Date,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMENDAT_y,1,CMENDAT_y,Drop-down list,-1,Year,,Years,,,,,,,Confirmable,,No,No,No,,CMENDAT_t,,3,1,1
CM - Medications,CMINDC,1,CMINDC,Text,2,Indication Term,,,,,,,,,Confirmable,,No,No,No,,,,,,1
CM - Medications,CMINDC_CAT,1,CMINDC_CAT,Drop-down list,1,Indication Category,,CM & PR - Indication Categories,,,,,,,Confirmable,,No,No,No,,,,,,1
CM - Medications,CMONGO,1,CMONGO,List of values,5,Ongoing?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
CM - Medications,CMROUTE,1,CMROUTE,Drop-down list,-1,Route,,CDISC CM Route,,,,,,,Confirmable,,No,No,No,,CMROUTE_t,,1,1,1
CM - Medications,CMROUTE_OTH,1,CMROUTE_OTH,Text,-1,Specify other route,,,,,,,,,Confirmable,,No,No,No,,CMROUTE_t,,2,1,1
CM - Medications,CMROUTE_t,1,,Table of items,11,Route,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMSTDAT,1,CMSTDAT,Date,-1,Start Date,,,,,,,,,Optional,,No,Yes,No,,CMSTDAT_t,,4,1,1
CM - Medications,CMSTDAT_d,1,CMSTDAT_d,Drop-down list,-1,Day,,Days,,,,,,,Confirmable,,No,No,No,,CMSTDAT_t,,1,1,1
CM - Medications,CMSTDAT_m,1,CMSTDAT_m,Drop-down list,-1,Month,,Months,,,,,,,Confirmable,,No,No,No,,CMSTDAT_t,,2,1,1
CM - Medications,CMSTDAT_t,1,,Table of items,4,Start Date,,,,,,,,,Optional,,No,No,Yes,,,,,,1
CM - Medications,CMSTDAT_y,1,CMSTDAT_y,Drop-down list,-1,Year,,Years,,,,,,,Confirmable,,No,No,No,,CMSTDAT_t,,3,1,1
CM - Medications,CMTRT,1,CMTRT,Text,0,Medication Name,,,,,,,,,Required,,No,No,No,,,,,,1
CM - Medications,DOB,1,DOB,Date,16,Date of Birth (from DM),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
CM - Medications,LCDAT,1,LCDAT,Date,17,Date of Last Contact (from DS_COMP),,,,,,,,,Optional,,No,Yes,Yes,,,,,,1
CM_SUM - Prior & Concomitant Medications,CMLOG,1,CMLOG,Sub-Form,2,,,,,,,,,,Required,,No,No,No,,,CM,,,1
CM_SUM - Prior & Concomitant Medications,CMYN,1,CMYN,List of values,1,Are there any prior or concomitant medications to report?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
CM_SUM - Prior & Concomitant Medications,Head1,1,,Header title,0,Prior and Concomitant Medications,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DM - Demographics,AGE,1,AGE,Integer,2,Age (at time of consent),years,,,120,,,,,Optional,,No,No,No,,,,,,1
DM - Demographics,BRTHDAT,1,BRTHDAT,Date,1,Date of Birth,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,DMCBP,1,DMCBP,List of values,4,Is the patient of child-bearing potential?,,Yes/No-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,DMCBP_CONT,1,DMCBP_CONT,Text memo,6,Contraception method(s) used by this patient,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,DMNCBP_REAS,1,DMNCBP_REAS,Text memo,7,"Reason for non-child-bearing potential (e.g. postmenopausal, surgically sterile etc.)",,,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,ETHNIC,1,ETHNIC,List of values,8,Ethnicity,,Ethnicity - CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,Head1,1,,Header title,0,Demographics,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DM - Demographics,Head3,1,,Header title,5,Ensure a pregnancy test is performed before the procedure,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DM - Demographics,RACE,1,RACE,List of values,9,Race,,Race - CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,RACEOTH,1,RACEOTH,Text,10,Specify other race,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DM - Demographics,SEX,1,SEX,List of values,3,Sex,,SEX-CDISC,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,ATT1Head,1,,Header title,-1,Attempt 1 Date: (phone call),,,,,,,,,Optional,,No,No,No,,Table1,,2,1,1
DS_COMP - Study Completion / Discontinuation,ATT2Head,1,,Header title,-1,Attempt 2 Date: (phone call),,,,,,,,,Optional,,No,No,No,,Table1,,3,1,1
DS_COMP - Study Completion / Discontinuation,ATT3Head,1,,Header title,-1,Attempt 3 Date: (phone call),,,,,,,,,Optional,,No,No,No,,Table1,,4,1,1
DS_COMP - Study Completion / Discontinuation,ATT4Head,1,,Header title,-1,Attempt 4 Date: (letter or email),,,,,,,,,Optional,,No,No,No,,Table1,,5,1,1
DS_COMP - Study Completion / Discontinuation,DSATT4TYP_COMP,1,DSATT4TYP_COMP,List of values,-1,Attempt 4 Method:,,DS_COMP - Lost To Follow-Up Attempt 4 Methods,,,,,,,Confirmable,,No,No,No,,Table1,,5,3,1
DS_COMP - Study Completion / Discontinuation,DSDECOD_COMP,1,DSDECOD_COMP,Drop-down list,3,Patients status at time of completion or discontinuation,,DS_COMP - Completion / Discontinuation Status,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSFUPATT1_COMP,1,DSFUPATT1_COMP,Date,-1,Attempt 1 Date (phone call),,,,,,,,,Confirmable,,No,No,No,,Table1,,2,2,1
DS_COMP - Study Completion / Discontinuation,DSFUPATT2_COMP,1,DSFUPATT2_COMP,Date,-1,Attempt 2 Date (phone call),,,,,,,,,Confirmable,,No,No,No,,Table1,,3,2,1
DS_COMP - Study Completion / Discontinuation,DSFUPATT3_COMP,1,DSFUPATT3_COMP,Date,-1,Attempt 3 Date (phone call),,,,,,,,,Confirmable,,No,No,No,,Table1,,4,2,1
DS_COMP - Study Completion / Discontinuation,DSFUPATT4_COMP,1,DSFUPATT4_COMP,Date,-1,Attempt 4 Date (letter or email),,,,,,,,,Confirmable,,No,No,No,,Table1,,5,2,1
DS_COMP - Study Completion / Discontinuation,DSLCDAT_COMP,1,DSLCDAT_COMP,Date,2,"Date of Last Contact (last follow-up contact made with patient, e.g. phone call)",,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSSTDAT_COMP,1,DSSTDAT_COMP,Date,1,Date of Study Completion or Discontinuation (last visit or assessment performed in the study),,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMAE_COMP,1,DSTERMAE_COMP,Text memo,9,Adverse Event Number and Term that caused Withdrawal,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMCW_COMP,1,DSTERMCW_COMP,Text memo,6,Reason for Consent Withdrawal,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMCWD_COMP,1,DSTERMCWD_COMP,Date,7,Date Consent Withdrawn,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMIW_COMP,1,DSTERMIW_COMP,Text memo,8,Reason for Investigator Withdrawal,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMOTH_COMP,1,DSTERMOTH_COMP,Text memo,11,Specify Other Reason(s) for Withdrawal,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMPD_COMP,1,DSTERMPD_COMP,Integer,10,Protocol Deviation Number that caused Withdrawal,,,,,1,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,DSTERMSF_COMP,1,DSTERMSF_COMP,Text memo,4,Reason for Screen Failure (include eligibility criteria numbers failed),,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_COMP - Study Completion / Discontinuation,Head1,1,,Header title,0,Study Completion / Discontinuation,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_COMP - Study Completion / Discontinuation,Head2,1,,Header title,-1,Follow-Up Attempts,,,,,,,,,Optional,,No,No,No,,Table1,,1,1,1
DS_COMP - Study Completion / Discontinuation,Table1,1,,Table of items,5,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_COMP - Study Completion / Discontinuation,v1,1,,Header title,-1,,,,,,,,,,Optional,,No,No,No,,Table1,,1,3,1
DS_COMP - Study Completion / Discontinuation,v2,1,,Header title,-1,,,,,,,,,,Optional,,No,No,No,,Table1,,2,3,1
DS_COMP - Study Completion / Discontinuation,v3,1,,Header title,-1,,,,,,,,,,Optional,,No,No,No,,Table1,,3,3,1
DS_COMP - Study Completion / Discontinuation,v7,1,,Header title,-1,,,,,,,,,,Optional,,No,No,No,,Table1,,4,3,1
DS_IC - Informed Consent,DSPERF1_IC,1,DSPERF1_IC,List of values,1,Was Informed Consent Obtained?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
DS_IC - Informed Consent,DSPERF2_IC,1,DSPERF2_IC,List of values,5,Did the patient consent to the Sub-Study?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
DS_IC - Informed Consent,DSPRDTOTH1_IC,1,DSPRDTOTH1_IC,Date,-1,Date,,,,,,,,,Confirmable,,No,No,No,,Table1,,2,2,1
DS_IC - Informed Consent,DSPRDTOTH2_IC,1,DSPRDTOTH2_IC,Date,-1,Date,,,,,,,,,Confirmable,,No,No,No,,Table2,,2,2,1
DS_IC - Informed Consent,DSPRV1_IC,1,DSPRV1_IC,Drop-down list,-1,Protocol Version at Time of Main Study Consent,,Protocol Version,,,,,,,Confirmable,,No,No,No,,Table1,,1,1,1
DS_IC - Informed Consent,DSPRV2_IC,1,DSPRV2_IC,Drop-down list,-1,Protocol Version at Time of Sub-Study Consent,,Protocol Version,,,,,,,Confirmable,,No,No,No,,Table2,,1,1,1
DS_IC - Informed Consent,DSPRVOTH1_IC,1,DSPRVOTH1_IC,Text,-1,Other Version,,,,,,,,,Confirmable,,No,No,No,,Table1,,2,1,1
DS_IC - Informed Consent,DSPRVOTH2_IC,1,DSPRVOTH2_IC,Text,-1,Other Version,,,,,,,,,Confirmable,,No,No,No,,Table2,,2,1,1
DS_IC - Informed Consent,DSSTDAT1_IC,1,DSSTDAT1_IC,Date,3,Date Patient Signed Main Study Consent,,,,,,,,,Required,,No,No,No,,,,,,1
DS_IC - Informed Consent,DSSTDAT2_IC,1,DSSTDAT2_IC,Date,7,Date Patient Signed Sub-Study Consent,,,,,,,,,Required,,No,No,No,,,,,,1
DS_IC - Informed Consent,Head1,1,,Header title,0,Informed Consent,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_IC - Informed Consent,Head2,1,,Header title,2,Assessments relating to the main study should NOT be performed on this patient,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_IC - Informed Consent,Head3,1,,Header title,6,Assessments relating to the sub-study should NOT be performed on this patient,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_IC - Informed Consent,Table1,1,,Table of items,4,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_IC - Informed Consent,Table2,1,,Table of items,8,,,,,,,,,,Optional,,No,No,Yes,,,,,,1
DS_IC_RE - Reconsent,DSPERF_ICRE,1,DSPERF_ICRE,List of values,1,Was Informed Consent Obtained?,,Yes/No-CDISC,,,,,,,Required,,No,No,No,,,,,,1
DS_IC_RE - Reconsent,DSPRDTOTH_ICRE,1,DSPRDTOTH_ICRE,Date,-1,Date,,,,,,,,,Confirmable,,No,No,No,,Table1,,2,2,1
DS_IC_RE - Reconsent,DSPRV_ICRE,1,DSPRV_ICRE,Drop-down list,-1,Protocol Version at Time of Consent,,Protocol Version,,,,,,,Confirmable,,No,No,No,,Table1,,1,1,1
DS_IC_RE - Reconsent,DSPRVOTH_ICRE,1,DSPRVOTH_ICRE,Text,-1,Other Version,,,,,,,,,Confirmable,,No,No,No,,Table1,,2,1,1
DS_IC_RE - Reconsent,DSSTDAT_ICRE,1,DSSTDAT_ICRE,Date,3,Date Patient Signed Consent,,,,,,,,,Confirmable,,No,No,No,,,,,,1
DS_IC_RE - Reconsent,DSTYPE_ICRE,1,DSTYPE_ICRE,Drop-down list,2,Consent Type,,IC_RE - Reconsent Types,,,,,,,Confirmable,,No,No,No,,,,,,1
